----------Creating Processes----------
Process: P0 	Size: 5 	Arrival Time: 54 	Run Time: 4 
Process: P1 	Size: 5 	Arrival Time: 12 	Run Time: 3 
Process: P2 	Size: 31 	Arrival Time: 49 	Run Time: 2 
Process: P3 	Size: 11 	Arrival Time: 16 	Run Time: 5 
Process: P4 	Size: 31 	Arrival Time: 30 	Run Time: 4 
Process: P5 	Size: 17 	Arrival Time: 36 	Run Time: 5 
Process: P6 	Size: 31 	Arrival Time: 21 	Run Time: 4 
Process: P7 	Size: 17 	Arrival Time: 36 	Run Time: 4 
Process: P8 	Size: 31 	Arrival Time: 33 	Run Time: 2 
Process: P9 	Size: 31 	Arrival Time: 38 	Run Time: 1 
Process: P10 	Size: 11 	Arrival Time: 18 	Run Time: 5 
Process: P11 	Size: 11 	Arrival Time: 59 	Run Time: 4 
Process: P12 	Size: 17 	Arrival Time: 18 	Run Time: 1 
Process: P13 	Size: 17 	Arrival Time: 40 	Run Time: 4 
Process: P14 	Size: 17 	Arrival Time: 35 	Run Time: 1 
Process: P15 	Size: 5 	Arrival Time: 21 	Run Time: 2 
Process: P16 	Size: 5 	Arrival Time: 28 	Run Time: 5 
Process: P17 	Size: 5 	Arrival Time: 22 	Run Time: 1 
Process: P18 	Size: 11 	Arrival Time: 54 	Run Time: 2 
Process: P19 	Size: 31 	Arrival Time: 29 	Run Time: 2 
Process: P20 	Size: 5 	Arrival Time: 58 	Run Time: 3 
Process: P21 	Size: 31 	Arrival Time: 8 	Run Time: 4 
Process: P22 	Size: 17 	Arrival Time: 6 	Run Time: 2 
Process: P23 	Size: 31 	Arrival Time: 21 	Run Time: 2 
Process: P24 	Size: 5 	Arrival Time: 47 	Run Time: 4 
Process: P25 	Size: 31 	Arrival Time: 3 	Run Time: 1 
Process: P26 	Size: 17 	Arrival Time: 4 	Run Time: 1 
Process: P27 	Size: 17 	Arrival Time: 4 	Run Time: 1 
Process: P28 	Size: 31 	Arrival Time: 58 	Run Time: 2 
Process: P29 	Size: 11 	Arrival Time: 25 	Run Time: 1 
Process: P30 	Size: 11 	Arrival Time: 57 	Run Time: 2 
Process: P31 	Size: 5 	Arrival Time: 12 	Run Time: 5 
Process: P32 	Size: 17 	Arrival Time: 30 	Run Time: 1 
Process: P33 	Size: 31 	Arrival Time: 34 	Run Time: 4 
Process: P34 	Size: 31 	Arrival Time: 22 	Run Time: 3 
Process: P35 	Size: 31 	Arrival Time: 26 	Run Time: 4 
Process: P36 	Size: 5 	Arrival Time: 20 	Run Time: 5 
Process: P37 	Size: 11 	Arrival Time: 11 	Run Time: 4 
Process: P38 	Size: 11 	Arrival Time: 34 	Run Time: 4 
Process: P39 	Size: 31 	Arrival Time: 55 	Run Time: 4 
Process: P40 	Size: 31 	Arrival Time: 52 	Run Time: 3 
Process: P41 	Size: 11 	Arrival Time: 37 	Run Time: 5 
Process: P42 	Size: 31 	Arrival Time: 51 	Run Time: 1 
Process: P43 	Size: 31 	Arrival Time: 2 	Run Time: 2 
Process: P44 	Size: 11 	Arrival Time: 42 	Run Time: 4 
Process: P45 	Size: 11 	Arrival Time: 25 	Run Time: 2 
Process: P46 	Size: 11 	Arrival Time: 25 	Run Time: 3 
