----------Creating Processes----------
Process: P0 	Size: 11 	Arrival Time: 27 	Run Time: 3 
Process: P1 	Size: 31 	Arrival Time: 14 	Run Time: 1 
Process: P2 	Size: 5 	Arrival Time: 57 	Run Time: 3 
Process: P3 	Size: 17 	Arrival Time: 59 	Run Time: 2 
Process: P4 	Size: 11 	Arrival Time: 6 	Run Time: 4 
Process: P5 	Size: 11 	Arrival Time: 47 	Run Time: 2 
Process: P6 	Size: 31 	Arrival Time: 57 	Run Time: 3 
Process: P7 	Size: 17 	Arrival Time: 32 	Run Time: 5 
Process: P8 	Size: 5 	Arrival Time: 44 	Run Time: 3 
Process: P9 	Size: 11 	Arrival Time: 49 	Run Time: 1 
Process: P10 	Size: 11 	Arrival Time: 34 	Run Time: 5 
Process: P11 	Size: 17 	Arrival Time: 17 	Run Time: 4 
Process: P12 	Size: 11 	Arrival Time: 49 	Run Time: 1 
Process: P13 	Size: 17 	Arrival Time: 27 	Run Time: 2 
Process: P14 	Size: 11 	Arrival Time: 13 	Run Time: 3 
Process: P15 	Size: 5 	Arrival Time: 30 	Run Time: 3 
Process: P16 	Size: 31 	Arrival Time: 33 	Run Time: 2 
Process: P17 	Size: 31 	Arrival Time: 12 	Run Time: 5 
Process: P18 	Size: 11 	Arrival Time: 32 	Run Time: 1 
Process: P19 	Size: 31 	Arrival Time: 45 	Run Time: 5 
Process: P20 	Size: 31 	Arrival Time: 55 	Run Time: 4 
Process: P21 	Size: 11 	Arrival Time: 29 	Run Time: 1 
Process: P22 	Size: 17 	Arrival Time: 38 	Run Time: 2 
Process: P23 	Size: 31 	Arrival Time: 52 	Run Time: 5 
Process: P24 	Size: 5 	Arrival Time: 18 	Run Time: 5 
Process: P25 	Size: 17 	Arrival Time: 42 	Run Time: 5 
Process: P26 	Size: 5 	Arrival Time: 29 	Run Time: 4 
Process: P27 	Size: 5 	Arrival Time: 20 	Run Time: 3 
Process: P28 	Size: 5 	Arrival Time: 25 	Run Time: 2 
Process: P29 	Size: 5 	Arrival Time: 24 	Run Time: 4 
Process: P30 	Size: 17 	Arrival Time: 19 	Run Time: 4 
Process: P31 	Size: 11 	Arrival Time: 29 	Run Time: 3 
Process: P32 	Size: 17 	Arrival Time: 7 	Run Time: 4 
Process: P33 	Size: 31 	Arrival Time: 2 	Run Time: 3 
Process: P34 	Size: 5 	Arrival Time: 14 	Run Time: 1 
Process: P35 	Size: 17 	Arrival Time: 41 	Run Time: 5 
